tree_id,longitude,latitude
tree1,22.28201,38.91148
tree2,22.28202,38.91148
tree3,21.91521,38.92611
tree4,21.91521,38.94109
tree5,22.86994,38.44683
tree6,21.91522,38.92611
tree7,21.882151,38.944166
tree8,21.882152,38.944166
tree9,21.87981,38.94791
tree10,22.443057,38.843889
tree11,22.363335,38.868018
tree12,22.44253,38.81771
tree13,22.870091,38.44719
tree14,22.890473,38.453128
tree15,22.238279,38.926249
tree16,22.23872,38.92663
tree17,22.443136,38.817705
tree18,22.23873,38.92663
tree19,22.238721,38.92663
tree20,22.545694,38.668528
tree21,22.545695,38.668528
tree22,22.86994,38.44683
tree23,21.887229,38.941954
tree24,21.7834,38.8977
tree25,21.7835,38.8977
tree26,21.73872,38.83132
tree27,21.738721,38.83132
tree28,22.28203,38.91148
tree29,22.28204,38.91148
tree30,22.28205,38.91148
tree31,21.91522,38.92611
tree32,21.91523,38.92611
tree33,21.87982,38.94791
tree34,21.87983,38.94791
tree35,21.880758,38.947437
tree36,22.44254,38.81771
tree37,22.443059,38.843889
tree38,22.870092,38.44719
tree39,22.28206,38.91148
tree40,22.23828,38.926249
tree41,22.238282,38.926249
tree42,22.86997,38.44683
tree43,22.545696,38.668528
tree44,21.882153,38.944166
tree45,21.739869,38.831123
tree46,22.363337,38.868018
tree47,22.44306,38.843889
tree48,22.443061,38.843889
tree49,22.443062,38.843889
tree50,22.443063,38.843889
tree51,22.480344,38.842369
tree52,22.480345,38.842369
tree53,22.870093,38.44719
tree54,22.881743,38.450005
tree55,22.881744,38.450005
tree56,22.87639,38.44737
tree57,22.881745,38.450005
tree58,22.238803,38.926775
tree59,22.238804,38.926775
tree60,22.238805,38.926775
tree61,22.238806,38.926775
tree62,22.31076,38.8734
tree63,21.91525,38.92611
tree64,21.88054,38.94644
tree65,21.882154,38.944166
tree66,21.960161,38.947686
tree67,21.91522,38.94109
tree68,22.545697,38.668528
tree69,22.545698,38.668528
